KeyConsult,KeyPatient,Name,FirstName,NumSecu,Date_In,Pathology,KeyChambre,ChambreNumber,Date_Out
KeyConsult40960,KeyPatient54845,Name54845,FistName54845,NS40961,2023-10-25T00:00:00.000+02:00,Pathology97,KeyChambre95,C095,2023-11-10T00:00:00.000+01:00
KeyConsult40961,KeyPatient68562,Name68562,FistName68562,NS40962,2023-10-25T00:00:00.000+02:00,Pathology38,KeyChambre95,C095,2023-10-26T00:00:00.000+02:00
KeyConsult40962,KeyPatient75663,Name75663,FistName75663,NS40963,2023-10-25T00:00:00.000+02:00,Pathology53,KeyChambre51,C051,2023-10-26T00:00:00.000+02:00
KeyConsult40963,KeyPatient35940,Name35940,FistName35940,NS40964,2023-10-25T00:00:00.000+02:00,Pathology41,KeyChambre5,C005,2023-10-27T00:00:00.000+02:00
KeyConsult40964,KeyPatient73136,Name73136,FistName73136,NS40965,2023-10-25T00:00:00.000+02:00,Pathology66,KeyChambre48,C048,2023-10-28T00:00:00.000+02:00
KeyConsult40965,KeyPatient75805,Name75805,FistName75805,NS40966,2023-10-25T00:00:00.000+02:00,Pathology37,KeyChambre75,C075,2023-10-26T00:00:00.000+02:00
KeyConsult40966,KeyPatient26763,Name26763,FistName26763,NS40967,2023-10-25T00:00:00.000+02:00,Pathology46,NULL,NULL,2023-10-25T00:00:00.000+02:00
KeyConsult40967,KeyPatient94936,Name94936,FistName94936,NS40968,2023-10-25T00:00:00.000+02:00,Pathology10,KeyChambre43,C043,2023-10-26T00:00:00.000+02:00
KeyConsult40968,KeyPatient70533,Name70533,FistName70533,NS40969,2023-10-25T00:00:00.000+02:00,Pathology42,KeyChambre57,C057,2023-10-28T00:00:00.000+02:00
KeyConsult40969,KeyPatient98138,Name98138,FistName98138,NS40970,2023-10-25T00:00:00.000+02:00,Pathology79,KeyChambre24,C024,2023-10-27T00:00:00.000+02:00
KeyConsult40970,KeyPatient96362,Name96362,FistName96362,NS40971,2023-10-25T00:00:00.000+02:00,Pathology21,KeyChambre48,C048,2023-10-26T00:00:00.000+02:00
KeyConsult40971,KeyPatient45410,Name45410,FistName45410,NS40972,2023-10-25T00:00:00.000+02:00,Pathology6,NULL,NULL,2023-10-25T00:00:00.000+02:00
KeyConsult40972,KeyPatient21984,Name21984,FistName21984,NS40973,2023-10-25T00:00:00.000+02:00,Pathology10,KeyChambre70,C070,2023-10-26T00:00:00.000+02:00
KeyConsult40973,KeyPatient46149,Name46149,FistName46149,NS40974,2023-10-25T00:00:00.000+02:00,Pathology86,KeyChambre97,C097,2023-10-31T00:00:00.000+01:00
KeyConsult40974,KeyPatient81120,Name81120,FistName81120,NS40975,2023-10-25T00:00:00.000+02:00,Pathology90,KeyChambre42,C042,2023-11-05T00:00:00.000+01:00
KeyConsult40975,KeyPatient1477,Name1477,FistName1477,NS40976,2023-10-25T00:00:00.000+02:00,Pathology52,KeyChambre12,C012,2023-10-26T00:00:00.000+02:00
KeyConsult40976,KeyPatient32519,Name32519,FistName32519,NS40977,2023-10-25T00:00:00.000+02:00,Pathology19,KeyChambre8,C008,2023-10-26T00:00:00.000+02:00
KeyConsult40977,KeyPatient75416,Name75416,FistName75416,NS40978,2023-10-25T00:00:00.000+02:00,Pathology56,NULL,NULL,2023-10-25T00:00:00.000+02:00
KeyConsult40978,KeyPatient64754,Name64754,FistName64754,NS40979,2023-10-25T00:00:00.000+02:00,Pathology87,KeyChambre17,C017,2023-11-02T00:00:00.000+01:00
KeyConsult40979,KeyPatient36488,Name36488,FistName36488,NS40980,2023-10-25T00:00:00.000+02:00,Pathology83,KeyChambre53,C053,2023-11-04T00:00:00.000+01:00
KeyConsult40980,KeyPatient83045,Name83045,FistName83045,NS40981,2023-10-25T00:00:00.000+02:00,Pathology21,KeyChambre51,C051,2023-10-27T00:00:00.000+02:00
KeyConsult40981,KeyPatient54517,Name54517,FistName54517,NS40982,2023-10-25T00:00:00.000+02:00,Pathology51,NULL,NULL,2023-10-25T00:00:00.000+02:00
KeyConsult40982,KeyPatient44535,Name44535,FistName44535,NS40983,2023-10-25T00:00:00.000+02:00,Pathology95,KeyChambre103,C103,2023-11-25T00:00:00.000+01:00
KeyConsult40983,KeyPatient67695,Name67695,FistName67695,NS40984,2023-10-25T00:00:00.000+02:00,Pathology16,NULL,NULL,2023-10-25T00:00:00.000+02:00
KeyConsult40984,KeyPatient53295,Name53295,FistName53295,NS40985,2023-10-25T00:00:00.000+02:00,Pathology25,KeyChambre102,C102,2023-10-26T00:00:00.000+02:00
KeyConsult40985,KeyPatient4682,Name4682,FistName4682,NS40986,2023-10-25T00:00:00.000+02:00,Pathology54,KeyChambre68,C068,2023-10-28T00:00:00.000+02:00
KeyConsult40986,KeyPatient16524,Name16524,FistName16524,NS40987,2023-10-25T00:00:00.000+02:00,Pathology78,KeyChambre33,C033,2023-10-31T00:00:00.000+01:00
KeyConsult40987,KeyPatient51969,Name51969,FistName51969,NS40988,2023-10-25T00:00:00.000+02:00,Pathology25,KeyChambre4,C004,2023-10-26T00:00:00.000+02:00
KeyConsult40988,KeyPatient85134,Name85134,FistName85134,NS40989,2023-10-25T00:00:00.000+02:00,Pathology70,KeyChambre72,C072,2023-10-28T00:00:00.000+02:00
