KeyConsult,KeyMedecin,KeyPatient,NamePatient,FirstNamePatient,NumSecu,Age,Weight,Temperature,Tension,Diabete,Pathology,KeyTreatment
KeyConsult8192,keyMedecin6,KeyPatient42540,Name42540,FistName42540,NS08193,22.0,60.319416456889535,37.4765487528812,132.4231010657413,0,Pathology57,KeyTreatment8192
KeyConsult8193,keyMedecin20,KeyPatient6244,Name6244,FistName6244,NS08194,19.0,60.26732078252987,37.703619982165634,117.08696198753013,0,Pathology18,KeyTreatment8193
KeyConsult8194,keyMedecin2,KeyPatient70096,Name70096,FistName70096,NS08195,77.0,69.97448657940481,40.09075507968378,120.818203223823,1,Pathology74,KeyTreatment8194
KeyConsult8195,keyMedecin14,KeyPatient10564,Name10564,FistName10564,NS08196,37.0,81.89909858893121,38.671590728049665,99.45216219167123,0,Pathology64,KeyTreatment8195
KeyConsult8196,keyMedecin3,KeyPatient22104,Name22104,FistName22104,NS08197,14.0,62.49774040284055,37.49917727769667,134.93383199256442,0,Pathology2,KeyTreatment8196
KeyConsult8197,keyMedecin11,KeyPatient63572,Name63572,FistName63572,NS08198,22.0,56.58227159814613,37.50024249442815,104.9421083222294,0,Pathology40,KeyTreatment8197
KeyConsult8198,keyMedecin28,KeyPatient37771,Name37771,FistName37771,NS08199,39.0,69.955718039356,38.580397797542055,111.55130094991003,0,Pathology63,KeyTreatment8198
KeyConsult8199,keyMedecin13,KeyPatient22889,Name22889,FistName22889,NS08200,19.0,56.14594287595698,37.45805089795507,100.66157123575083,0,Pathology58,KeyTreatment8199
KeyConsult8200,keyMedecin1,KeyPatient21830,Name21830,FistName21830,NS08201,74.0,72.51852697346091,40.01798597051914,115.72640560520975,1,Pathology73,KeyTreatment8200
KeyConsult8201,keyMedecin26,KeyPatient43303,Name43303,FistName43303,NS08202,42.0,75.84071247494978,40.53928238196211,78.91571886770302,0,Pathology92,KeyTreatment8201
KeyConsult8202,keyMedecin23,KeyPatient27729,Name27729,FistName27729,NS08203,37.0,76.35533166600683,37.97666394113661,85.57556351840893,0,Pathology81,KeyTreatment8202
KeyConsult8203,keyMedecin24,KeyPatient822,Name822,FistName822,NS08204,14.0,61.97759244705642,37.62507636249634,97.82645312061251,0,Pathology11,KeyTreatment8203
KeyConsult8204,keyMedecin12,KeyPatient44001,Name44001,FistName44001,NS08205,18.0,66.61032528620983,37.62522285477313,126.79356954502127,0,Pathology39,KeyTreatment8204
KeyConsult8205,keyMedecin26,KeyPatient67151,Name67151,FistName67151,NS08206,21.0,62.49834209143125,37.34935628769663,131.7909657252933,0,Pathology3,KeyTreatment8205
KeyConsult8206,keyMedecin3,KeyPatient74377,Name74377,FistName74377,NS08207,15.0,58.396648073390935,37.46842249748024,128.63469816954566,0,Pathology26,KeyTreatment8206
KeyConsult8207,keyMedecin1,KeyPatient61068,Name61068,FistName61068,NS08208,77.0,75.36662733402378,39.92557008621856,123.40297368514831,0,Pathology79,KeyTreatment8207
KeyConsult8208,keyMedecin9,KeyPatient33445,Name33445,FistName33445,NS08209,20.0,60.19994489538384,37.398811869200344,113.05186156008773,1,Pathology45,KeyTreatment8208
KeyConsult8209,keyMedecin9,KeyPatient19848,Name19848,FistName19848,NS08210,23.0,55.60271306120585,37.446753207031236,105.41775813086066,0,Pathology8,KeyTreatment8209
KeyConsult8210,keyMedecin8,KeyPatient97443,Name97443,FistName97443,NS08211,18.0,59.5480846261589,37.501424606455814,111.47062081597373,0,Pathology50,KeyTreatment8210
KeyConsult8211,keyMedecin20,KeyPatient56742,Name56742,FistName56742,NS08212,26.0,60.83985123826415,37.45460342850291,112.73236505251866,0,Pathology9,KeyTreatment8211
KeyConsult8212,keyMedecin4,KeyPatient86229,Name86229,FistName86229,NS08213,32.0,63.162351641774485,37.293893746876776,113.06577372042425,0,Pathology13,KeyTreatment8212
KeyConsult8213,keyMedecin18,KeyPatient12127,Name12127,FistName12127,NS08214,21.0,59.738080059552466,37.48574691069185,66.33128673144104,0,Pathology20,KeyTreatment8213
KeyConsult8214,keyMedecin10,KeyPatient96485,Name96485,FistName96485,NS08215,20.0,58.42176482582359,37.5070126703033,150.0410580990166,0,Pathology36,KeyTreatment8214
KeyConsult8215,keyMedecin5,KeyPatient2562,Name2562,FistName2562,NS08216,22.0,58.15177737999162,37.559840455807404,121.28871416998167,0,Pathology57,KeyTreatment8215
KeyConsult8216,keyMedecin27,KeyPatient28118,Name28118,FistName28118,NS08217,52.0,77.17089834416038,38.550901562595726,110.62132027439537,0,Pathology64,KeyTreatment8216
KeyConsult8217,keyMedecin6,KeyPatient30657,Name30657,FistName30657,NS08218,18.0,57.97380045178991,37.4458528350981,129.42128831241777,0,Pathology48,KeyTreatment8217
